key;value;original
бег;бѣг;бѣг
беглец;бѣглец;бѣглец
бед;бѣд;бѣда
бедн;бѣдн;бѣдный
беженец;бѣженец;бѣженец
бел;бѣл;бѣльё
белк;бѣлк;бѣлка
белуг;бѣлуг;бѣлуга
бельм;бѣльм;бѣльмо
бес;бѣс;бѣс
бесед;бесѣд;бесѣда
бешен;бѣшен;бѣшеный
бледн;блѣдн;блѣдный
ве́ден;ве́дѣн;вѣ́дѣние
вед;вѣд;вѣдать
веер;вѣер;вѣер
веж;вѣж;вѣжа
вежд;вѣжд;вѣжды
вежлив;вѣжлив;вѣжливый
век;вѣк;вѣк
великолепн;великолѣпн;великолѣпный
вен;вѣн;вѣно
венец;вѣнец;вѣнец
веник;вѣник;вѣник
венок;вѣнок;вѣнок
вер;вѣр;вѣра
вероятн;вѣроятн;вѣроятно
вес;вѣс;вѣс
вест;вѣст;вѣсть
ветв;вѣтв;вѣтвь
ветер;вѣтер;вѣтер
вех;вѣх;вѣха
веч;вѣч;вѣче
вечн;вѣчн;вѣчный
веш;вѣш;вѣшать
вещ;вѣщ;вѣщать
вея;вѣя;вѣять
внедр;внѣдр;внѣдрить
встреч;встрѣч;встрѣчать
гнев;гнѣв;гнѣв
гнед;гнѣд;гнѣдой
гнезд;гнѣзд;гнѣздо
грех;грѣх;грѣх
грешн;грѣшн;грѣшный
дев;дѣв;дѣва
дед;дѣд;дѣд
действ;дѣйств;дѣйствие
дел;дѣл;дѣло
дет;дѣт;дѣти
детеныш;дѣтеныш;дѣтёныш
детк;дѣтк;дѣтка
детств;дѣтств;дѣтство
долголет;долголѣт;долголѣтие
ед;ѣд;ѣда
едк;ѣдк;ѣдкий
езд;ѣзд;ѣздить
ем;ѣм;ѣм
ест;ѣст;ѣсть
ех;ѣх;ѣхать
желез;желѣз;желѣзо
железняк;желѣзняк;желѣзняк
забегаловк;забѣгаловк;забѣгаловка
завет;завѣт;завѣт
загнетк;загнѣтк;загнѣтка
замеч;замѣч;замѣчать
застенок;застѣнок;застѣнок
застенчив;застѣнчив;застѣнчивый
застрех;застрѣх;застрѣха
зате;затѣ;затѣя
затея;затѣя;затѣять
звезд;звѣзд;звѣзда
звер;звѣр;звѣрь
зев;зѣв;зѣв
зел;зѣл;зѣло
зениц;зѣниц;зѣница
зенк;зѣнк;зѣнки
зме;змѣ;змѣй
зрел;зрѣл;зрѣлый
зрен;зрѣн;зрѣние
зрет;зрѣт;зрѣть
избег;избѣг;избѣгать
избеж;избѣж;избѣжать
изменник;измѣнник;измѣнник
исцеля;исцѣля;исцѣлять
калек;калѣк;калѣка
калеч;калѣч;калѣчить
клет;клѣт;клѣть
клетк;клѣтк;клѣтка
кол;кол;колѣно
креп;крѣп;крѣпиться
крепк;крѣпк;крѣпкий
лев;лѣв;лѣвый
левш;лѣвш;лѣвша
лезт;лѣзт;лѣзть
лекар;лѣкар;лѣкарь
лекарств;лѣкарств;лѣкарство
лелея;лелѣя;лелѣять
лен;лѣн;лѣнь
ленив;лѣнив;лѣнивый
ленивец;лѣнивец;лѣнивец
лентя;лѣнтя;лѣнтяй
леп;лѣп;лѣпить
лепот;лѣпот;лѣпота
лес;лѣс;лѣс
лесник;лѣсник;лѣсник
леснич;лѣснич;лѣсничий
лесопилк;лѣсопилк;лѣсопилка
лестниц;лѣстниц;лѣстница
лет;лѣт;лѣто
летоисчислен;лѣтоисчислен;лѣтоисчисление
летоп;лѣтоп;лѣтопись
